# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
cutA	ER3413_4281	AIZ53954	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
cysB	ER3413_1294	AIZ51075	protein_coding	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0
cysH	ER3413_2845	AIZ52562	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
dam	ER3413_3474	ER3413_3474	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
damX	ER3413_3476	AIZ53179	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
dcuA	ER3413_4282	AIZ53955	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
deoB	ER3413_4494	AIZ54155	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
deoD	ER3413_4495	AIZ54156	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
dicA	ER3413_4582	AIZ54252	protein_coding	0	0	0	16	0	0	16	0	0	0	0	0	0	0	0	0	0
dicB	ER3413_1612	AIZ51369	protein_coding	0	0	0	31	0	0	31	0	0	0	0	0	0	0	0	0	0
dicC	ER3413_1607	AIZ51364	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
dicF	ER3413_4631	ER3413_4631-1	lincRNA	0	0	0	23	0	0	23	0	0	0	0	0	0	0	0	0	0
dld	ER3413_2197	AIZ51941	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
dmsD	ER3413_1628	AIZ51383	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
dsbA	ER3413_3973	AIZ53662	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
dsbD	ER3413_4280	AIZ53953	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
dsrA	ER3413_4632	ER3413_4632-1	lincRNA	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
dsrB	ER3413_2004	AIZ51768	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
dtpA	ER3413_1672	AIZ51431	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ebgA	ER3413_3167	AIZ52869	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ebgC	ER3413_3168	AIZ52870	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
emrE	ER3413_552	AIZ54390	protein_coding	2	1	5	27	0	0	6	2	0	5	0	0	0	0	0	1	21
envY	ER3413_572	AIZ54407	protein_coding	0	0	0	55	0	0	55	0	0	0	0	0	0	0	0	0	0
epmB	ER3413_4290	AIZ53964	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
fadH	ER3413_3173	AIZ52875	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
fau	ER3413_2999	AIZ52709	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
fbaB	ER3413_2159	AIZ51905	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
fdhF	ER3413_4218	AIZ53890	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14
feaB	ER3413_1413	AIZ51186	protein_coding	3	21	27	97	0	0	91	0	0	27	0	0	0	3	0	21	6
feaR	ER3413_1412	AIZ51185	protein_coding	0	0	0	148	0	0	6	0	0	0	0	0	0	0	0	0	142
ffh	ER3413_2691	AIZ52427	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
fimZ	ER3413_544	AIZ54385	protein_coding	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	35
fliI	ER3413_1992	AIZ51754	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
fliJ	ER3413_1993	AIZ51755	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
fliK	ER3413_1994	AIZ51756	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
fliL	ER3413_1995	AIZ51757	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
fliM	ER3413_1996	AIZ51758	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
fliN	ER3413_1998	AIZ51759	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
fliO	ER3413_1999	AIZ51760	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
fliP	ER3413_2000	AIZ51764	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
fliQ	ER3413_2001	AIZ51765	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
fliR	ER3413_2002	AIZ51766	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
frlA	ER3413_3458	AIZ53160	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
frlB	ER3413_3459	AIZ53161	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
frlC	ER3413_3460	AIZ53163	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
frlD	ER3413_3461	AIZ53164	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
frlR	ER3413_3462	AIZ53165	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
frmA	ER3413_364	AIZ53340	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
frmB	ER3413_363	AIZ53330	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
frmR	ER3413_365	AIZ53348	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
fxsA	ER3413_4284	AIZ53957	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
gcvH	ER3413_2991	AIZ52702	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
gcvP	ER3413_2990	AIZ52701	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
gcvT	ER3413_2992	AIZ52703	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ggt	ER3413_3536	AIZ53239	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1
glnU	ER3413_683	ER3413_683-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
glnV	ER3413_680	ER3413_680-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
glnW	ER3413_682	ER3413_682-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
glnX	ER3413_679	ER3413_679-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
glyA	ER3413_2633	AIZ52370	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
groL	ER3413_4287	AIZ53960	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
groS	ER3413_4286	AIZ53959	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
hcr	ER3413_891	AIZ54721	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hemE	ER3413_4122	AIZ53802	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
hflD	ER3413_1162	AIZ50949	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
higA	ER3413_3174	AIZ52876	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
higB	ER3413_3175	AIZ52877	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hisR	ER3413_3909	ER3413_3909-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
hmp	ER3413_2634	AIZ52371	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
hofM	ER3413_3483	AIZ53187	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hofN	ER3413_3482	AIZ53186	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hofO	ER3413_3481	AIZ53185	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
hofP	ER3413_3480	AIZ53184	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hofQ	ER3413_3479	AIZ53182	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hslJ	ER3413_1406	AIZ51179	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
htpX	ER3413_1878	ER3413_1878	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
icd	ER3413_1166	AIZ50953	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ileT	ER3413_3963	ER3413_3963-1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
insA	ER3413_4615	AIZ54288	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
insB1	ER3413_3534	AIZ53237	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
insC1	ER3413_368	AIZ53378	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
insD1	ER3413_369	AIZ53389	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
insE1	ER3413_550	AIZ54388	protein_coding	1	3	7	24	0	0	20	0	0	7	0	0	0	1	0	3	4
insF1	ER3413_551	AIZ54389	protein_coding	0	2	4	29	0	0	14	0	0	4	0	0	0	0	0	2	15
insH1	ER3413_562	AIZ54399	protein_coding	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	35
intD	ER3413_547	AIZ54386	protein_coding	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	35
iraM	ER3413_4593	AIZ54264	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
kdgR	ER3413_1876	AIZ51640	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
lamB	ER3413_4168	AIZ53842	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ldhA	ER3413_1408	AIZ51181	protein_coding	2	2	0	2	0	0	0	0	1	0	0	0	1	1	0	1	2
leuT	ER3413_3910	ER3413_3910-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
leuW	ER3413_684	ER3413_684-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
livF	ER3413_3544	AIZ53247	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
livG	ER3413_3545	AIZ53248	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
livH	ER3413_3547	AIZ53250	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
livM	ER3413_3546	AIZ53249	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
lolC	ER3413_1145	AIZ50931	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
lolD	ER3413_1146	AIZ50932	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
lolE	ER3413_1147	AIZ50933	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
lplA	ER3413_4497	AIZ54158	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ltaE	ER3413_889	AIZ54718	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
lyxK	ER3413_3687	AIZ53386	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
macA	ER3413_897	AIZ54727	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
macB	ER3413_898	AIZ54728	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
malE	ER3413_4166	AIZ53840	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
malK	ER3413_4167	AIZ53841	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
malM	ER3413_4170	AIZ53844	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
malS	ER3413_3678	AIZ53376	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
mdtI	ER3413_1636	AIZ51392	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
mdtJ	ER3413_1637	AIZ51393	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
mdtN	ER3413_4223	AIZ53894	protein_coding	0	0	0	14	0	0	14	0	0	0	0	0	0	0	0	0	0
mdtO	ER3413_4222	AIZ53893	protein_coding	0	8	6	0	0	0	0	0	0	6	0	0	0	0	0	8	0
mdtP	ER3413_4221	AIZ53892	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14
metT	ER3413_685	ER3413_685-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
metU	ER3413_681	ER3413_681-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
mfd	ER3413_1143	AIZ50929	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mgrB	ER3413_1874	AIZ51638	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
mhpE	ER3413_360	AIZ53301	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
mhpT	ER3413_361	AIZ53311	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
miaB	ER3413_677	AIZ54513	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
mlc	ER3413_1631	AIZ51387	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
mngR	ER3413_744	AIZ54571	protein_coding	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0
mnmA	ER3413_1163	AIZ50950	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mobA	ER3413_3970	AIZ53659	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mobB	ER3413_3969	AIZ53657	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
mrcA	ER3413_3484	AIZ53188	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
msrC	ER3413_1882	AIZ51645	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
nadR	ER3413_4501	AIZ54164	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
nagA	ER3413_690	AIZ54520	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
nagB	ER3413_691	AIZ54521	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
nagC	ER3413_689	AIZ54518	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
nagD	ER3413_688	AIZ54517	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
nagE	ER3413_694	AIZ54522	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
nanC	ER3413_4463	AIZ54127	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
nanM	ER3413_4462	AIZ54126	protein_coding	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0
nanS	ER3413_4461	AIZ54125	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1
nepI	ER3413_3775	AIZ53475	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
nfi	ER3413_4123	AIZ53803	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
nfrA	ER3413_574	AIZ54409	protein_coding	0	0	0	24	0	0	24	0	0	0	0	0	0	0	0	0	0
ninE	ER3413_4567	AIZ54235	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14
nlpA	ER3413_3773	AIZ53473	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
nohD	ER3413_567	ER3413_567	pseudogene	0	1	0	54	0	0	49	0	0	0	6	1	0	0	0	0	0
nth	ER3413_1670	AIZ51430	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
nudC	ER3413_4121	AIZ53801	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
nudE	ER3413_3485	AIZ53189	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
nudJ	ER3413_1164	AIZ50951	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ompG	ER3413_1346	AIZ51126	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ompL	ER3413_3993	AIZ53678	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ompT	ER3413_571	AIZ54406	protein_coding	0	2	2	51	0	0	51	0	0	2	0	0	0	0	0	2	0
ompW	ER3413_1276	AIZ51055	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
opgB	ER3413_4466	ER3413_4466	pseudogene	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
opgC	ER3413_1072	AIZ50856	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
opgG	ER3413_1075	AIZ50857	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
osmF	ER3413_2194	AIZ51939	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
paaA	ER3413_1417	AIZ51189	protein_coding	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100
paaB	ER3413_1418	AIZ51190	protein_coding	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	40
paaC	ER3413_1419	AIZ51191	protein_coding	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	32
paaD	ER3413_1420	AIZ51193	protein_coding	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	32
paaE	ER3413_1421	AIZ51194	protein_coding	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	24
paaZ	ER3413_1416	AIZ51188	protein_coding	0	0	0	142	0	0	142	0	0	0	0	0	0	0	0	0	0
pauD	ER3413_4684	ER3413_4684-1	protein_coding	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	55
pbpG	ER3413_2198	AIZ51942	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
pepP	ER3413_2996	AIZ52706	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
pgpB	ER3413_1299	AIZ51080	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8
pheA	ER3413_2680	AIZ52416	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
pheL	ER3413_4576	AIZ54245	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
phnC	ER3413_4248	AIZ53919	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
